client_1,client_2,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total_mv
396,1469,0,0,0,0,0,0,0,3,25,134,39,21,22,37,281
1469,96,0,0,0,0,0,0,0,1,9,5,10,8,8,7,48
363,306,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
90,178,0,0,0,0,0,0,0,0,0,3,7,8,3,11,32
427,77,0,0,0,0,0,0,0,10,68,69,82,84,76,54,443
2079,111,0,0,0,0,0,0,0,0,1,1,0,0,2,1,5
324,1469,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3
1374,1185,0,0,0,0,0,0,0,0,2,0,1,1,1,0,5
77,1133,0,0,0,0,0,0,0,3,21,19,20,48,27,14,152
312,1218,0,0,0,0,0,0,0,0,0,1,1,1,0,1,4
1042,331,0,0,0,0,0,0,0,8,23,15,16,9,2,7,80
2110,174,0,0,0,0,0,0,0,0,0,1,1,1,2,2,7
2108,306,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2402,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2651,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
150,363,0,0,0,0,0,0,0,2,2,3,2,4,5,4,22
2318,396,0,0,0,0,0,0,0,0,8,5,3,1,2,5,24
26,1185,0,0,0,0,0,0,0,7,17,7,14,23,10,12,90
1278,174,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
118,1035,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
1133,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
190,77,0,0,0,0,0,0,0,1,3,5,3,1,0,1,14
13,1395,0,0,0,0,0,0,0,0,1,0,5,3,1,4,14
4,344,0,0,0,0,0,0,0,0,1,2,2,1,0,0,6
1026,150,0,0,0,0,0,0,0,0,1,2,2,3,3,1,12
169,1284,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3
1010,1278,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
331,2344,0,0,0,0,0,0,0,0,0,0,1,4,4,0,9
406,1129,0,0,0,0,0,0,0,0,1,3,2,0,0,2,8
1218,150,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
324,1326,0,0,0,0,0,0,0,1,0,0,1,2,0,0,4
378,1133,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4
2082,339,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
1333,174,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
399,324,0,0,0,0,0,0,0,1,1,1,1,0,0,0,4
2190,2119,0,0,0,0,0,0,0,0,0,0,0,4,8,29,41
90,350,0,0,0,0,0,0,0,0,0,1,3,1,0,0,5
254,402,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3
118,2402,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
406,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
312,370,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1036,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
4018,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1218,306,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
2082,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1129,2339,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
54,1153,0,0,0,0,0,0,0,2,2,1,2,4,2,2,15
1227,116,0,0,0,0,0,0,0,5,3,12,9,4,1,2,36
326,383,0,0,0,0,0,0,0,0,1,1,2,1,0,0,5
2339,54,0,0,0,0,0,0,0,0,0,2,4,4,12,56,78
26,326,0,0,0,0,0,0,0,1,37,7,4,3,1,0,53
178,2190,0,0,0,0,0,0,0,0,2,1,40,58,64,54,219
1072,399,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3
427,174,0,0,0,0,0,0,0,0,4,1,10,7,25,8,55
36,1294,0,0,0,0,0,0,0,0,0,4,1,2,2,2,11
96,13,0,0,0,0,0,0,0,245,790,956,822,617,554,478,4462
104,1042,0,0,0,0,0,0,0,38,163,146,188,120,152,110,917
1133,1302,0,0,0,0,0,0,0,0,0,0,3,2,2,1,8
363,1219,0,0,0,0,0,0,0,0,1,1,2,0,0,2,6
350,312,0,0,0,0,0,0,0,3,5,11,5,4,1,0,29
36,1372,0,0,0,0,0,0,0,0,11,27,43,50,76,105,312
27,2242,0,0,0,0,0,0,0,1,7,11,8,4,11,33,75
51,150,0,0,0,0,0,0,0,6,19,19,36,66,57,35,238
331,402,0,0,0,0,0,0,0,2,9,19,29,28,14,10,111
2187,174,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
418,2455,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1434,1434,0,0,0,0,0,0,0,96,4449,1675,543,1,0,0,6764
174,2108,0,0,0,0,0,0,0,0,0,1,0,3,4,1,9
77,178,0,0,0,0,0,0,0,24,64,63,101,75,55,55,437
2339,1395,0,0,0,0,0,0,0,0,15,26,81,263,3295,578,4258
114,51,0,0,0,0,0,0,0,1,17,19,31,34,17,9,128
53,2339,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
27,1100,0,0,0,0,0,0,0,2,7,6,4,12,5,7,43
396,427,0,0,0,0,0,0,0,2,16,8,53,27,16,21,143
66,487,0,0,0,0,0,0,0,2,2,3,3,0,0,0,10
104,3082,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
36,77,0,0,0,0,0,0,0,192,478,396,502,444,358,359,2729
2058,207,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1184,1051,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3
